later_cve,prior_cve,diff_kind,confidence,shared_files,cited_change,later_patch_url,prior_patch_url
CVE-2022-4135,chromium:1392715,same_root_cause_confirmed,0.90,gpu/command_buffer/service/gles2_cmd_decoder.cc|gpu/command_buffer/service/texture_manager.cc|gpu/command_buffer/service/texture_manager.h,"bool TextureManager::ValidForTextureTarget(const Texture* texture,                                           GLint level,                                           GLsizei width,                                           GLsizei height,                                           GLsizei depth) {",https://chromium.googlesource.com/chromium/src/+/2bd6ab1a16090fd20d422c11d794edf5c0ff6b89,https://chromium-review.googlesource.com/c/chromium/src/+/4055567
CVE-2022-4262,chromium:1425616,one_extends_other,0.78,,"    {""app_args"": ""--lazy"", ""app_name"": ""d8"", ""probability"": 0.1},",https://chromium-review.googlesource.com/c/v8/v8/+/4096480,https://chromium-review.googlesource.com/c/v8/v8/+/4365867
CVE-2022-1096,CVE-2021-30551,incomplete_fix_confirmed,0.80,src/objects/objects.cc|test/cctest/test-api-interceptors.cc,it->Next();,https://chromium.googlesource.com/v8/v8/+/0981e91a4f8692af337e2588562ad1504f4bffdc,https://chromium.googlesource.com/v8/v8/+/f9857fdf743eeb263aec3944259ad811f564291b
CVE-2022-1364,chromium:1315901,incomplete_fix_confirmed,0.80,src/compiler/escape-analysis.cc,current->SetValueChanged();,https://chromium.googlesource.com/v8/v8/+/8081a5ffa7ebdb0e5b35cf63aa0490ad3578b940,https://chromium-review.googlesource.com/c/v8/v8/+/3755102
CVE-2019-11707,mozilla:1607670,same_root_cause_confirmed,0.78,js/src/jit/CodeGenerator.cpp|js/src/vm/Interpreter.cpp|js/src/jit/MIR.h,if (!mir->hasDefaultAliasSet() && !isWhitelisted) {,https://github.com/mozilla/gecko-dev/commit/4ca7a9d3ee9c7fe0d432bd3d3e251238a6f71721,https://bugzilla.mozilla.org/show_bug.cgi?id=1607670
CVE-2019-13720,chromium:1019226,one_extends_other,0.90,third_party/blink/renderer/modules/webaudio/convolver_node.cc,BaseAudioContext::GraphAutoLocker context_locker(Context());,https://chromium-review.googlesource.com/c/chromium/src/+/1888103,https://chromium-review.googlesource.com/c/chromium/src/+/1890711
CVE-2019-13720,chromium:977107,same_root_cause_confirmed,0.75,,if (!IsExecutionContextDestroyed() && Context()),https://chromium-review.googlesource.com/c/chromium/src/+/1888103,https://chromium-review.googlesource.com/c/chromium/src/+/1701610
CVE-2021-44828,CVE-2021-39793,incomplete_fix_confirmed,0.75,,"mapped_evt = kbase_vmap_prot(kctx, evt, sizeof(*mapped_evt), KBASE_REG_CPU_RD, &map);",https://github.com/LumiPlayground/android_kernel_samsung_universal8895_419/commit/70d78952840f5dc4e9482b1441bebdad07b2a4e7,https://android.googlesource.com/kernel/google-modules/gpu/+/5381ff7b4106b277ff207396e293ede2bf959f0c
CVE-2021-21206,chromium:1045874,same_root_cause_confirmed,0.78,,This might be subject to concurrent modification by script.,https://chromium-review.googlesource.com/c/chromium/src/+/2812000,https://chromium-review.googlesource.com/c/chromium/src/+/2025573
CVE-2021-38000,chromium:1249962,one_extends_other,0.90,base/android/java/src/org/chromium/base/PackageManagerUtils.java|chrome/android/aapt2.config|chrome/android/java/src/org/chromium/chrome/browser/DefaultBrowserInfo.java|chrome/android/java/src/org/chromium/chrome/browser/customtabs/CustomTabDelegateFactory.java|chrome/android/javatests/src/org/chromium/chrome/browser/externalnav/UrlOverridingTest.java,public static final Intent BROWSER_INTENT = new Intent(),https://chromium.googlesource.com/chromium/src/+/36aa9d15d1283d8d9758b044b7a9a20349f507de,https://chromium-review.googlesource.com/c/chromium/src/+/3232895
CVE-2021-37975,chromium:1252918,same_root_cause_confirmed,0.85,,"} while (!mutator_marking_state_.marking_worklist().IsLocalAndGlobalEmpty() ||
           saved_did_discover_new_ephemeron_pairs);",https://github.com/v8/v8/commit/e677a6f6b257e992094b9183a958b67ecc68aa85,https://chromium-review.googlesource.com/c/v8/v8/+/3197714
CVE-2021-37975,chromium:1252878,one_extends_other,0.90,src/heap/cppgc/marker.cc|src/heap/cppgc/marking-state.h|test/unittests/heap/cppgc/marker-unittest.cc," } while (!mutator_marking_state_.marking_worklist().IsLocalAndGlobalEmpty() ||
           saved_did_discover_new_ephemeron_pairs);",https://github.com/v8/v8/commit/e677a6f6b257e992094b9183a958b67ecc68aa85,https://chromium-review.googlesource.com/c/v8/v8/+/3203052
CVE-2021-4102,chromium:1278387,same_root_cause_confirmed,0.90,src/compiler/simplified-operator-reducer.cc,if (m.IsChangeTaggedSignedToInt32()) {,https://chromium-review.googlesource.com/c/v8/v8/+/3329790,https://chromium-review.googlesource.com/c/v8/v8/+/3335759
CVE-2021-4102,chromium:791245,same_root_cause_confirmed,0.75,,if (m.IsChangeTaggedSignedToInt32()) {,https://chromium-review.googlesource.com/c/v8/v8/+/3329790,https://chromium-review.googlesource.com/c/v8/v8/+/808866
CVE-2021-4102,chromium:1307610,same_root_cause_confirmed,0.70,,"JSRegExp::cast(*recv).set_last_index(*value_as_object, UPDATE_WRITE_BARRIER);",https://chromium-review.googlesource.com/c/v8/v8/+/3329790,https://chromium-review.googlesource.com/c/v8/v8/+/3548819
CVE-2021-21166,chromium:1174582,same_root_cause_confirmed,0.86,third_party/blink/renderer/modules/webaudio/script_processor_node.cc,MutexTryLocker try_locker(process_event_lock_);,https://chromium.googlesource.com/chromium/src/+/60987aa224f369fc0ea38c56e498389440921356,https://chromium-review.googlesource.com/c/chromium/src/+/2726911
CVE-2021-21166,chromium:1177465,incomplete_fix_confirmed,0.78,third_party/blink/renderer/modules/webaudio/script_processor_node.cc,MutexTryLocker try_locker(process_event_lock_);,https://chromium.googlesource.com/chromium/src/+/60987aa224f369fc0ea38c56e498389440921356,https://chromium-review.googlesource.com/c/chromium/src/+/2727696
CVE-2020-6572,chromium:1066893,same_root_cause_confirmed,0.82,media/mojo/services/mojo_audio_decoder_service.cc|media/mojo/services/mojo_audio_decoder_service.h|media/mojo/services/mojo_renderer_service.cc|media/mojo/services/mojo_video_decoder_service.cc|media/mojo/services/mojo_video_decoder_service.h,"NOTREACHED() << ""The caller should not switch CDM"";",https://chromium.googlesource.com/chromium/src.git/+/c0268599d1161f4c57a7911c7f036f70af88c8d0,https://chromium-review.googlesource.com/c/chromium/src/+/2133173
