later_cve,prior_cve,diff_kind,confidence,shared_files,cited_change,later_patch_url,prior_patch_url
CVE-2022-4135,chromium:1392715,one_extends_other,0.90,gpu/command_buffer/service/gles2_cmd_decoder.cc|gpu/command_buffer/service/texture_manager.cc|gpu/command_buffer/service/texture_manager.h,"bool TextureManager::ValidForTextureTarget(const Texture* texture,",https://chromium.googlesource.com/chromium/src/+/2bd6ab1a16090fd20d422c11d794edf5c0ff6b89,https://chromium-review.googlesource.com/c/chromium/src/+/4055567
CVE-2022-4262,chromium:1425616,same_root_cause_confirmed,0.78,src/ast/scopes.cc,if (maybe_in_arrowhead || !is_top_level_function || has_inner_functions) {,https://chromium.googlesource.com/v8/v8/+/27fa951ae4a3801126e84bc94d5c82dd2370d18b,https://chromium-review.googlesource.com/c/v8/v8/+/4365867
CVE-2022-1096,CVE-2021-30551,incomplete_fix_confirmed,0.88,src/objects/objects.cc|test/cctest/test-api-interceptors.cc,"return Object::SetSuperProperty(it, value, store_origin, should_throw);",https://chromium.googlesource.com/v8/v8/+/0981e91a4f8692af337e2588562ad1504f4bffdc,https://chromium.googlesource.com/v8/v8/+/f9857fdf743eeb263aec3944259ad811f564291b
CVE-2022-1232,CVE-2022-1096,incomplete_fix_confirmed,0.86,test/cctest/test-api-interceptors.cc,Don't execute interceptor again if it declined to handle the operation.,https://chromium-review.googlesource.com/c/v8/v8/+/3565845,https://chromium.googlesource.com/v8/v8/+/0981e91a4f8692af337e2588562ad1504f4bffdc
CVE-2022-1096,chromium-p0:2280,incomplete_fix_confirmed,0.83,test/cctest/test-api-interceptors.cc,LookupIterator::Configuration c = LookupIterator::OWN_SKIP_INTERCEPTOR;,https://chromium.googlesource.com/v8/v8/+/0981e91a4f8692af337e2588562ad1504f4bffdc,https://chromium-review.googlesource.com/c/v8/v8/+/3565845
CVE-2022-1096,CVE-2016-5128,incomplete_fix_confirmed,0.77,src/objects.cc|src/objects/objects.cc,it->Next();,https://chromium.googlesource.com/v8/v8/+/0981e91a4f8692af337e2588562ad1504f4bffdc,https://chromium.googlesource.com/v8/v8/+/2c8ca9ad09281d4138ae363566051e45afd0838c
CVE-2022-1364,chromium:1315901,incomplete_fix_confirmed,0.86,src/compiler/escape-analysis.cc,current->SetValueChanged();,https://chromium.googlesource.com/v8/v8/+/8081a5ffa7ebdb0e5b35cf63aa0490ad3578b940,https://chromium-review.googlesource.com/c/v8/v8/+/3755102
CVE-2022-3723,chromium:1378239,incomplete_fix_confirmed,0.75,src/compiler/access-info.cc,case AccessMode::kStoreInLiteral:,https://chromium.googlesource.com/v8/v8/+/db83e72034c0d431ff2f73e3c4ae3130c0f3e4e1,https://chromium-review.googlesource.com/c/v8/v8/+/3981277
CVE-2022-4906,CVE-2022-3723,incomplete_fix_confirmed,0.92,,return mode == AccessMode::kStore || mode == AccessMode::kStoreInLiteral ||         mode == AccessMode::kDefine;,https://chromium-review.googlesource.com/c/v8/v8/+/4040931,https://chromium.googlesource.com/v8/v8/+/db83e72034c0d431ff2f73e3c4ae3130c0f3e4e1
CVE-2022-3723,chromium:1382434,incomplete_fix_confirmed,0.90,,return mode == AccessMode::kStore || mode == AccessMode::kStoreInLiteral || mode == AccessMode::kDefine;,https://chromium.googlesource.com/v8/v8/+/db83e72034c0d431ff2f73e3c4ae3130c0f3e4e1,https://chromium-review.googlesource.com/c/v8/v8/+/4040931
